Id,SalePrice
1461,132806.21241905983
1462,155347.2897576131
1463,190410.30359941372
1464,189089.46141109546
1465,187071.08256800473
1466,175755.84278362407
1467,186216.94453874463
1468,166547.44266977673
1469,197013.9294577341
1470,126602.73370453413
1471,204817.90377721703
1472,88162.4919417596
1473,97664.14868813893
1474,149049.63267423422
1475,109416.74543535919
1476,300909.67328171385
1477,258730.4751246504
1478,264533.9772767725
1479,277374.44524894096
1480,408141.3475422752
1481,293759.1225133692
1482,209415.80161703704
1483,200737.34907713067
1484,179161.1029383901
1485,141439.13031588658
1486,194281.7878675696
1487,310947.31324288016
1488,264889.9308863566
1489,210208.1707866958
1490,227090.85837043496
1491,191907.67670365167
1492,106076.57696962543
1493,204237.8503751161
1494,262328.8825605747
1495,261476.6375273734
1496,224212.4225786829
1497,198946.59599346435
1498,148542.3897441288
1499,149451.42725147912
1500,151642.9144797111
1501,170960.58787259716
1502,137041.163966991
1503,264619.67943970766
1504,215117.2452200926
1505,228569.30845987005
1506,232266.52596834442
1507,267990.22456684057
1508,215670.55766037037
1509,152431.39431213494
1510,160592.32651715656
1511,158644.33786983928
1512,195188.65493337903
1513,143428.6565159373
1514,206959.57339549903
1515,255111.8182305775
1516,134165.14711496746
1517,175967.4162803355
1518,192496.36770892097
1519,234932.57101132162
1520,132314.1916833853
1521,140227.89556311164
1522,173100.20398659143
1523,118533.13281253027
1524,109728.98677859711
1525,108729.55802569422
1526,105955.32101015095
1527,146963.2723396616
1528,158508.7798265298
1529,148886.41302121477
1530,198718.83791881148
1531,138690.80472537805
1532,84746.37650778866
1533,172232.04866374587
1534,153896.32050136523
1535,197307.9926203075
1536,133319.57858332968
1537,123106.38348237681
1538,183248.11456466722
1539,207120.26975609153
1540,137261.59437572933
1541,181594.01448837062
1542,189181.37620591093
1543,228655.21306958096
1544,76102.17688531801
1545,90526.00231131096
1546,108775.20796390576
1547,119976.1426859803
1548,119811.91875700676
1549,130702.55232029501
1550,138534.9336554266
1551,119651.6228556179
1552,170488.91030976851
1553,163476.62438668055
1554,138339.83599928906
1555,182297.4875068278
1556,90335.86508471146
1557,116932.22660394409
1558,71562.39972247859
1559,114894.16834117426
1560,140490.25177305425
1561,191266.20989643363
1562,153274.46720824856
1563,107678.8833805786
1564,188746.60930148256
1565,138850.19493266917
1566,239125.86799681047
1567,80612.57525733067
1568,217468.3511981275
1569,181026.37311081844
1570,136132.66820121137
1571,122353.62017904269
1572,176934.65126776882
1573,244896.29438561993
1574,159777.53254862642
1575,212178.75054220343
1576,232166.6464498737
1577,206981.81458957656
1578,163002.74490080774
1579,155324.69758063764
1580,193088.78798947507
1581,162136.01945743687
1582,123391.8252626753
1583,304110.66101756506
1584,230475.1144216631
1585,144951.37465170398
1586,75120.59738431522
1587,73913.34312597709
1588,149706.0006857782
1589,110577.83522334578
1590,137126.8520915117
1591,90375.6432919139
1592,173531.89353318512
1593,98242.14774183999
1594,124131.43785624695
1595,117711.05543089868
1596,236900.42156362114
1597,215152.38547623018
1598,168960.62345271697
1599,163593.69184827595
1600,175030.14932596823
1601,45805.4661025384
1602,134338.6418759888
1603,91995.67138070753
1604,241439.94717839547
1605,231922.729474284
1606,170318.9814963953
1607,263900.1463093548
1608,219535.3679395488
1609,200224.72896919446
1610,149222.30388511764
1611,167725.41868155403
1612,225452.45503996895
1613,213302.0190207141
1614,117521.23759293137
1615,80660.13020861708
1616,77500.32328181784
1617,98835.08478311612
1618,144646.5962700972
1619,133643.84216936748
1620,238297.64822760876
1621,152508.7627288052
1622,133105.61571549647
1623,245581.90967622632
1624,218794.2169602909
1625,112476.09176137182
1626,189059.42729694932
1627,188527.27176840464
1628,245912.7812832659
1629,149929.28120022966
1630,337373.1759680649
1631,212309.56731142267
1632,238372.07981145103
1633,136228.40385270002
1634,190649.72000924847
1635,162907.21046929597
1636,172966.6222605873
1637,207924.57773419935
1638,193072.29421803285
1639,215199.72660832363
1640,251355.53612977033
1641,209470.99854238797
1642,216383.3662566552
1643,222418.12047645263
1644,212856.71900447225
1645,214654.28404462663
1646,154252.31814215728
1647,161108.6708752045
1648,159962.03928984306
1649,135284.86326005752
1650,125713.22612352436
1651,159491.8453637322
